Date,CPI
2010-01-01,89.27
2010-02-01,89.74
2010-03-01,88.89
2010-04-01,89.64
2010-05-01,89.49
2010-06-01,89.8
2010-07-01,90.08
2010-08-01,90.09
2010-09-01,90.18
2010-10-01,90.78
2010-11-01,90.95
2010-12-01,90.26
2011-01-01,90.25
2011-02-01,90.93
2011-03-01,90.13
2011-04-01,90.8
2011-05-01,90.98
2011-06-01,91.54
2011-07-01,91.27
2011-08-01,91.3
2011-09-01,91.42
2011-10-01,91.91
2011-11-01,91.89
2011-12-01,92.09
2012-01-01,92.38
2012-02-01,91.15
2012-03-01,91.27
2012-04-01,92.11
2012-05-01,92.57
2012-06-01,93.16
2012-07-01,93.52
2012-08-01,94.43
2012-09-01,94.12
2012-10-01,94.05
2012-11-01,93.35
2012-12-01,93.58
2013-01-01,93.41
2013-02-01,93.85
2013-03-01,92.5
2013-04-01,93.08
2013-05-01,93.25
2013-06-01,93.72
2013-07-01,93.58
2013-08-01,93.69
2013-09-01,94.92
2013-10-01,94.66
2013-11-01,93.98
2013-12-01,93.89
2014-01-01,94.18
2014-02-01,93.81
2014-03-01,93.99
2014-04-01,94.62
2014-05-01,94.76
2014-06-01,95.25
2014-07-01,95.22
2014-08-01,95.64
2014-09-01,95.59
2014-10-01,95.66
2014-11-01,94.78
2014-12-01,94.46
2015-01-01,93.3
2015-02-01,93.62
2015-03-01,93.41
2015-04-01,93.84
2015-05-01,94.07
2015-06-01,94.72
2015-07-01,94.62
2015-08-01,95.21
2015-09-01,95.87
2015-10-01,95.95
2015-11-01,95.29
2015-12-01,94.58
2016-01-01,94.05
2016-02-01,95.88
2016-03-01,95.29
2016-04-01,95.6
2016-05-01,95.23
2016-06-01,95.57
2016-07-01,95.79
2016-08-01,95.75
2016-09-01,96.19
2016-10-01,97.58
2016-11-01,97.17
2016-12-01,96.18
2017-01-01,96.16
2017-02-01,95.82
2017-03-01,95.46
2017-04-01,95.69
2017-05-01,95.8
2017-06-01,96.53
2017-07-01,96.53
2017-08-01,96.67
2017-09-01,96.66
2017-10-01,97.26
2017-11-01,97.5
2017-12-01,97.35
2018-01-01,97.02
2018-02-01,97.93
2018-03-01,96.98
2018-04-01,97.61
2018-05-01,97.48
2018-06-01,97.88
2018-07-01,98.22
2018-08-01,98.16
2018-09-01,98.32
2018-10-01,98.39
2018-11-01,97.78
2018-12-01,97.29
2019-01-01,97.19
2019-02-01,98.14
2019-03-01,97.52
2019-04-01,98.25
2019-05-01,98.39
2019-06-01,98.71
2019-07-01,98.6
2019-08-01,98.58
2019-09-01,98.73
2019-10-01,98.75
2019-11-01,98.35
2019-12-01,98.41