Date,Production
2010-01-01,2210163
2010-02-01,2047815
2010-03-01,2276546
2010-04-01,2190270
2010-05-01,2236507
2010-06-01,2138770
2010-07-01,2208753
2010-08-01,2235038
2010-09-01,2238147
2010-10-01,2356947
2010-11-01,2276710
2010-12-01,2400418
2011-01-01,2299298
2011-02-01,2104330
2011-03-01,2410884
2011-04-01,2349720
2011-05-01,2410866
2011-06-01,2312943
2011-07-01,2340293
2011-08-01,2370440
2011-09-01,2358169
2011-10-01,2502387
2011-11-01,2475947
2011-12-01,2543747
2012-01-01,2571350
2012-02-01,2360061
2012-03-01,2524260
2012-04-01,2417498
2012-05-01,2490707
2012-06-01,2376776
2012-07-01,2465064
2012-08-01,2373954
2012-09-01,2410375
2012-10-01,2557140
2012-11-01,2471365
2012-12-01,2523763
2013-01-01,2512031
2013-02-01,2269907
2013-03-01,2504000
2013-04-01,2446307
2013-05-01,2488677
2013-06-01,2385386
2013-07-01,2512441
2013-08-01,2495089
2013-09-01,2414405
2013-10-01,2513172
2013-11-01,2455169
2013-12-01,2525967
2014-01-01,2580019
2014-02-01,2356978
2014-03-01,2623914
2014-04-01,2583873
2014-05-01,2633253
2014-06-01,2560033
2014-07-01,2629156
2014-08-01,2644937
2014-09-01,2625503
2014-10-01,2735719
2014-11-01,2661917
2014-12-01,2770080
2015-01-01,2790052
2015-02-01,2520509
2015-03-01,2827524
2015-04-01,2758730
2015-05-01,2790849
2015-06-01,2660158
2015-07-01,2756222
2015-08-01,2744748
2015-09-01,2721449
2015-10-01,2806078
2015-11-01,2726220
2015-12-01,2812110
2016-01-01,2823104
2016-02-01,2653842
2016-03-01,2824983
2016-04-01,2678610
2016-05-01,2767844
2016-06-01,2628164
2016-07-01,2721210
2016-08-01,2722631
2016-09-01,2626213
2016-10-01,2720187
2016-11-01,2678247
2016-12-01,2746543
2017-01-01,2723628
2017-02-01,2493267
2017-03-01,2797117
2017-04-01,2689967
2017-05-01,2778965
2017-06-01,2688422
2017-07-01,2753997
2017-08-01,2769670
2017-09-01,2763285
2017-10-01,2911373
2017-11-01,2897003
2017-12-01,3025419
2018-01-01,2993178
2018-02-01,2751215
2018-03-01,3069284
2018-04-01,2976108
2018-05-01,3098558
2018-06-01,2972738
2018-07-01,3138242
2018-08-01,3206177
2018-09-01,3153978
2018-10-01,3314676
2018-11-01,3259912
2018-12-01,3391473
2019-01-01,3376735
2019-02-01,3056916
2019-03-01,3383042
2019-04-01,3315270
2019-05-01,3424018
2019-06-01,3299794
2019-07-01,3395984
2019-08-01,3448106
2019-09-01,3396571
2019-10-01,3551970
2019-11-01,3509293
2019-12-01,3622512